f,violation,stationarity,complementarity,dual_min,f_gap,y_inf,y_rel,iteration,problem,method,relative KKT
0.0,2.241823973099074,38.65452987772163,0.0,0.0,93.33329955391179,1.9764623219360447,1.0,0,qp_active,ALM (rho=0),12.986735828249534
-69.71547683464814,2.7271129323815666,17.552639575616737,0.2912339989510452,0.0,23.617822719263643,1.9764623219360447,0.960446753433705,1,qp_active,ALM (rho=0),5.89714825088046
-87.34439802765425,2.589714393828893,10.358429227893353,0.6451490603397746,0.0,5.988901526257536,1.9764623219360447,0.9256458927903081,2,qp_active,ALM (rho=0),3.480114346334375
-93.83070382633895,2.251685118967203,6.384867775179025,0.865270068100939,0.0,-0.49740427242716123,1.9764623219360447,0.899262332057778,3,qp_active,ALM (rho=0),2.251685118967203
-96.36627827550693,1.8803434190360493,4.041802179251178,0.943541032379032,0.0,-3.0329787215951427,1.9420446910247215,0.8736572760246659,4,qp_active,ALM (rho=0),1.8803434190360493
-97.3782419032662,1.53552048160855,2.695429251651248,0.9211998522870135,0.0,-4.0449423493544145,1.8820315288273728,0.84829548153789,5,qp_active,ALM (rho=0),1.53552048160855
-97.75895688648708,1.655189743642298,1.9843165945290977,0.8419074824224586,0.007150928547385418,-4.425657332575298,1.8056867488321768,0.822619612036013,6,qp_active,ALM (rho=0),1.655189743642298
-97.86382195478215,1.7624766906670466,1.4626173117515133,0.7389838321754362,0.02912633716293842,-4.5305224008703675,1.7193025832131459,0.7959248943140589,7,qp_active,ALM (rho=0),1.7624766906670466
-97.84605890093647,1.8092495041555523,1.0740632630780933,0.6334679353023959,0.061166263674739534,-4.512759347024684,1.6273191239565459,0.7689115780347168,8,qp_active,ALM (rho=0),1.8092495041555523
-97.77436741933705,1.8129734914787878,0.7819605498085878,0.8041765272544619,0.09969931563118203,-4.441067865425268,1.5328945968511514,0.7421495684336626,9,qp_active,ALM (rho=0),1.8129734914787878
-97.67960308338226,1.7863219943235285,0.5612612333438083,0.9613745725409116,0.14205384401707516,-4.346303529470475,1.4382757152683148,0.716076944329108,10,qp_active,ALM (rho=0),1.7863219943235285
-97.57503592129814,1.7386056551023206,0.40732186179892693,1.0977809066948705,0.18624497605451246,-4.241736367386352,1.385278644390505,0.6910107902315358,11,qp_active,ALM (rho=0),1.7386056551023206
-97.46580275079944,1.6767122793595535,0.42583758083507206,1.2108414315206406,0.2308146971372057,-4.132503196887654,1.3858563907637262,0.6671638849301407,12,qp_active,ALM (rho=0),1.6767122793595535
-97.35349476417959,1.605751289469449,0.42981390135134134,1.300111957266279,0.27471002755715385,-4.020195210267801,1.386256382698793,0.6446631672679191,13,qp_active,ALM (rho=0),1.605751289469449
-97.23838359687593,1.529509357990996,0.4244492392333985,1.366560914044626,0.3171892262288249,-3.9050840429641482,1.3861543308532813,0.6235676525373015,14,qp_active,ALM (rho=0),1.529509357990996
-97.1204511872518,1.4507800350106699,0.4130899184052854,1.4120275318580677,0.35774903594032864,-3.7871516333400166,1.385330595721636,0.6038846022908331,15,qp_active,ALM (rho=0),1.4507800350106699
-96.9998094801172,1.3716064720764756,0.3979430081838924,1.4388214319044987,0.3920455044774037,-3.666509926205407,1.3836456836244246,0.585583434443205,16,qp_active,ALM (rho=0),1.3716064720764756
-96.87681824099371,1.293462638207103,0.38049555574644245,1.4494394068454628,0.39466998087259075,-3.543518687081928,1.3810212072292378,0.5686072588171991,17,qp_active,ALM (rho=0),1.293462638207103
-96.75206524164139,1.2173900807109295,0.36176657878693597,1.4463741025318457,0.3982662717655818,-3.4187656877296035,1.3774249163362466,0.5528821460392193,18,qp_active,ALM (rho=0),1.2173900807109295
-96.62629489967793,1.144101996778752,0.3424623649630334,1.4319919905823604,0.40283231938637376,-3.292995345766144,1.3728588687154546,0.5383243541566999,19,qp_active,ALM (rho=0),1.144101996778752
-96.50032828198626,1.0740629216702224,0.32307486173613853,1.408461898938273,0.4083411069997864,-3.1670287280744702,1.367350081102042,0.5248457893126955,20,qp_active,ALM (rho=0),1.0740629216702224
-96.37499370805054,1.0075500129203174,0.30394585147610975,1.3777192872307404,0.4147480215843542,-3.041694154138753,1.3609431665174743,0.5123579893994873,21,qp_active,ALM (rho=0),1.0075500129203174
-96.25107459595698,0.9447003089779002,0.2853100397084205,1.3414549357111927,0.42199661498018104,-2.917775042045193,1.3536945731216474,0.5007749083330251,22,qp_active,ALM (rho=0),0.9447003089779002
-96.12927489191793,0.8855472158078799,0.2673247815123929,1.3011196094950066,0.43002307148715563,-2.7959753380061443,1.345668116614673,0.490014753457766,23,qp_active,ALM (rho=0),0.8855472158078799
-96.01019963066082,0.830048669782272,0.2500910874859201,1.2579385654432949,0.4387596322912095,-2.6769000767490354,1.336931555810619,0.4800010963612013,24,qp_active,ALM (rho=0),0.830048669782272
-95.89434726546239,0.7781088390761548,0.23366876733186892,1.2129315528287512,0.4481371818097284,-2.5610477115506,1.3275540062921,0.4706634426979336,25,qp_active,ALM (rho=0),0.7781088390761548
-95.78211044572166,0.7295947927334563,0.2180875204421504,1.1669353071195816,0.4580871643323836,-2.4488108918098703,1.3176040237694449,0.4619374126414115,26,qp_active,ALM (rho=0),0.7295947927334563
-95.56956649832377,0.6422002158125437,0.18946371757893488,1.074544110506297,0.4794408963811325,-2.2362669444119803,1.296250291720696,0.4460925689544735,28,qp_active,ALM (rho=0),0.6422002158125437
-95.46958775812175,0.6029683346005488,0.17639411415838957,1.029109730030366,0.4907207975457913,-2.1362882042099613,1.2849703905560372,0.4388739598078096,29,qp_active,ALM (rho=0),0.6029683346005488
