f,violation,stationarity,complementarity,dual_min,f_gap,y_inf,y_rel,iteration,problem,method,config,diverged,primal_lr
-94.81188794844108,0.3467248506431604,0.00014263517462076436,0.7126506265638729,0.48175921025681123,-1.4785883945292966,1.2939319778450171,0.4615068167110753,20000,qp_active,ALM (rho=0),lr=0.0001,False,0.025472576427598502
-93.55158573585567,0.08924658121491102,6.569307208792452e-05,0.1005888113285021,0.6016868405827641,-0.21828618194388127,0.7071705221364969,0.32193481754508085,20000,qp_active,ALM (rho=0),lr=0.0003,False,0.025472576427598502
-93.35485535549346,0.012466111525693435,7.159519814337045e-06,0.02286547629345724,0.7348802002065461,-0.021555801581669698,0.5739771625127149,0.2202931351105827,20000,qp_active,ALM (rho=0),lr=0.001,False,0.025472576427598502
-93.34188385905814,0.005255395887730607,1.0324777706571808e-05,0.008133877250914965,1.0830832009736788,-0.008584305146356996,0.22577416174558218,0.08597086883301046,20000,qp_active,ALM (rho=0),lr=0.003,False,0.025472576427598502
-93.3336605401932,0.0001949403761951629,1.2771694173352444e-06,0.0002795368516561113,1.2669179039483442,-0.00036098628140734945,0.008372845723061184,0.0031882605210003944,20000,qp_active,ALM (rho=0),lr=0.01,False,0.025472576427598502
-93.33329958309567,1.5687350973792036e-08,3.086881861236179e-10,2.2427228516082037e-08,1.2698365507691618,-2.9183880201344437e-08,6.733929396318672e-07,2.5642643235839865e-07,20000,qp_active,ALM (rho=0),lr=0.03,False,0.025472576427598502
-93.33329955391181,8.881784197001252e-16,1.7763568394002505e-15,1.6547831586682236e-15,1.26983678550078,-2.842170943040401e-14,6.17284001691587e-14,2.3292419419722574e-14,20000,qp_active,ALM (rho=0),lr=0.1,False,0.025472576427598502
-93.3332995539118,0.0,3.552713678800501e-15,0.0,1.2698367855008044,-1.4210854715202004e-14,1.2878587085651816e-14,4.956408535512217e-15,20000,qp_active,ALM (rho=0),lr=0.3,False,0.025472576427598502
-93.3332995539118,0.0,8.881784197001252e-16,0.0,1.2698367855008064,-1.4210854715202004e-14,1.4654943925052066e-14,5.594474713298115e-15,20000,qp_active,ALM (rho=0),lr=1,False,0.025472576427598502
-95.14813947151356,0.45194623947672774,1.6084779147815276,0.6864225187665491,0.42195032867347315,-1.8148399176017733,1.3537408594283553,0.5544803996353653,20000,qp_active,ALM (rho=1),lr=0.0001,False,0.017117804745729968
-93.75331311207435,0.09749701182003312,0.21169220569040448,0.16031117358287963,0.5957977032992569,-0.4200135581625659,0.780272563041036,0.3403386490998914,20000,qp_active,ALM (rho=1),lr=0.0003,False,0.017117804745729968
-93.36052917055068,0.011505468808720387,0.01652509272724423,0.02111086765110801,0.7317068032894262,-0.02722961663889123,0.5771505594298348,0.22255549989836768,20000,qp_active,ALM (rho=1),lr=0.001,False,0.017117804745729968
-93.34218573463932,0.005327485720015623,0.006900851304362021,0.008057129218158394,1.0759966502541456,-0.008886180727529336,0.23286071246511542,0.08813512755884748,20000,qp_active,ALM (rho=1),lr=0.003,False,0.017117804745729968
-93.33369223561978,0.00020828732635980174,0.0002706965305527831,0.0002916832314233839,1.2666650573923095,-0.00039268170799289237,0.009098947262886625,0.0034437939787830755,20000,qp_active,ALM (rho=1),lr=0.01,False,0.017117804745729968
-93.3332995905284,1.932840998364327e-08,2.5363030786706986e-08,2.6980178960627518e-08,1.2698364915230926,-3.661661196474597e-08,8.434681306734859e-07,3.1924973120139625e-07,20000,qp_active,ALM (rho=1),lr=0.03,False,0.017117804745729968
-93.33329955391183,8.881784197001252e-16,7.105427357601002e-15,1.6547831586682234e-15,1.2698367855007833,-4.263256414560601e-14,5.417888360170764e-14,2.0958684060094225e-14,20000,qp_active,ALM (rho=1),lr=0.1,False,0.017117804745729968
-93.3332995539118,0.0,3.552713678800501e-15,0.0,1.2698367855008044,-1.4210854715202004e-14,1.1324274851176597e-14,4.529539214172766e-15,20000,qp_active,ALM (rho=1),lr=0.3,False,0.017117804745729968
-93.3332995539118,0.0,7.105427357601002e-15,0.0,1.2698367855008064,-1.4210854715202004e-14,1.4654943925052066e-14,5.567697586583949e-15,20000,qp_active,ALM (rho=1),lr=1,False,0.017117804745729968
-94.17551039731045,0.18309735761352464,6.551212911141185,0.07356954840172897,0.11334487652560701,-0.8422108433986608,1.6216562286799998,0.8584909849431406,20000,qp_active,ALM (rho=10),lr=0.0001,False,0.004331518705531157
-93.94436311076342,0.12588506314607883,4.498418442925889,0.12738431849450446,0.2939306874094456,-0.6110635568516329,1.2617259328043406,0.642929245598309,20000,qp_active,ALM (rho=10),lr=0.0003,False,0.004331518705531157
-93.53313313525916,0.03139622930202357,1.1865098208564238,0.06197745644226962,0.6511720166310075,-0.19983358134737728,0.6576853460882535,0.2960260597855356,20000,qp_active,ALM (rho=10),lr=0.001,False,0.004331518705531157
